PDOid,koeppen,landform
PDO-FR-A0413,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0414,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0415,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0416,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0417,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0418,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0419,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0485,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0486,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0487,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0488,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0489,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0490,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0491,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0492,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0493,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0494,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0495,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0496,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0497,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0498,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0499,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0500,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0501,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0502,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0503,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0504,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0505,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0559,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0560,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0562,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0564,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0571,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0573,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0574,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0576,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0577,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0578,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0579,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0580,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0581,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0582,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0583,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0584,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0585,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0586,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0587,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0588,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0589,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0590,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0591,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0592,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0593,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0594,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0595,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0596,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0597,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0598,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0623,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0625,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0628,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0630,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0632,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0633,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0635,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0636,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0638,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0641,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0642,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0643,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0647,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0649,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0650,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0652,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0653,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0654,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0656,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0657,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0659,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0660,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0661,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0663,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-FR-A0664,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0666,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0667,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0668,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0669,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0670,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0671,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0672,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-FR-A0673,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-FR-A0675,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0676,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0679,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0681,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0683,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0685,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0686,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0687,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0690,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0697,"Cfa Temperate, no dry season, hot summer",Hills
PDO-FR-A0707,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0708,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0709,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0710,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0711,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0712,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0713,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0714,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0715,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0716,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0717,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0718,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0719,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0720,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0721,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0722,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-FR-A0724,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0725,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0726,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0727,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0729,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0730,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0731,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0733,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0734,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0736,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0737,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0738,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0739,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0740,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0818,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0819,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0820,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0821,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0822,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0823,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0824,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0825,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0826,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0827,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0828,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0829,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0911,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0912,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0913,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0914,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0915,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0916,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0917,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0918,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0919,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0920,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0921,"Cfa Temperate, no dry season, hot summer",Hills
PDO-FR-A0922,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0923,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0924,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0925,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0926,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0927,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0928,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0929,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0930,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0931,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0932,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0933,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0934,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0935,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0936,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0937,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0982,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0983,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0984,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0986,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0987,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0988,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0990,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0991,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0992,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0993,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0994,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0996,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0999,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A1000,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A1002,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-FR-A1003,"Cfa Temperate, no dry season, hot summer",Hills
PDO-FR-A1005,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1007,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1011,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A1012,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1014,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1016,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1017,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A1021,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1022,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A1023,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A1024,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1025,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A1027,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1028,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1029,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1049,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-FR-A1101,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1102,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A1103,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1200,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A1359,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A1363,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A1364,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-N1672,"Csa Temperate, dry summer, hot summer",Plains
PDO-GB-A1585,"Cfb Temperate, no dry season, warm summer",Plains
PDO-GB-A1587,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-GB-N1636,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-GR-A0116,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-GR-A1048,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1055,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-GR-A1065,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1087,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1096,"BSk Arid, steppe, cold",Hills
PDO-GR-A1239,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-GR-A1240,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-GR-A1251,"BSk Arid, steppe, cold",Lowlands
PDO-GR-A1253,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-GR-A1316,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1340,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1390,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1395,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-GR-A1401,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-GR-A1432,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1484,"Csa Temperate, dry summer, hot summer",Plains
PDO-GR-A1532,"Csa Temperate, dry summer, hot summer",Low Plateaus
PDO-GR-A1533,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1554,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-GR-A1564,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1566,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-GR-A1567,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1570,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1573,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-GR-A1607,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1608,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1610,"BSk Arid, steppe, cold",Mid Altitude Mountains 
PDO-GR-A1612,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1613,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1614,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-GR-A1615,"Csa Temperate, dry summer, hot summer",Hills
PDO-GR-A1617,"Csa Temperate, dry summer, hot summer",Hills
PDO-HR-02087,"Csa Temperate, dry summer, hot summer",Rugged Lowlands
PDO-HR-02109,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-HR-A1648,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-HR-A1649,"Csa Temperate, dry summer, hot summer",Hills
PDO-HR-A1650,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-HR-A1651,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1652,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-HR-A1653,"Cfa Temperate, no dry season, hot summer",Plains
PDO-HR-A1654,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1655,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1656,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1657,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1658,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-HR-A1659,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-HR-A1660,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1661,"Csa Temperate, dry summer, hot summer",Hills
PDO-HR-A1662,"Dfb Cold, no dry season, warm summer",Plains
PDO-HR-A1663,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-02171,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-02378,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1254,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1328,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-HU-A1332,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1333,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-HU-A1335,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1338,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1341,"Dfa Cold, no dry season, hot summer",Plains
PDO-HU-A1345,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1349,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1350,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1353,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1368,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1373,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1376,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1378,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1380,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1381,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1383,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1385,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1388,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1500,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1501,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1502,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1503,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-HU-A1504,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1505,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-HU-A1506,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1507,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1509,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-A1516,"Dfb Cold, no dry season, warm summer",Plains
PDO-HU-N1638,"Dfb Cold, no dry season, warm summer",Plains
PDO-IT-01896,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-02176,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-02360,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0222,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-IT-A0232,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0236,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0237,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-IT-A0238,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A0239,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0240,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0241,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0242,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0243,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0248,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0249,"Csa Temperate, dry summer, hot summer",Plains
PDO-IT-A0250,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0251,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0252,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-IT-A0277,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0278,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0279,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0280,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0281,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0284,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0285,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0287,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0289,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0290,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0291,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0292,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0293,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A0294,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-IT-A0296,"Dfb Cold, no dry season, warm summer",Mid Altitude Mountains 
PDO-IT-A0297,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0305,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0312,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0318,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0327,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0332,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0337,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0342,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0347,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0350,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0351,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0352,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0353,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0354,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0355,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0356,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-IT-A0357,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0358,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-IT-A0359,"Csa Temperate, dry summer, hot summer",Hills
PDO-IT-A0367,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0426,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0427,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0428,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0429,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0431,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0432,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0433,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0434,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0435,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0436,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0437,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0438,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0439,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0440,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0441,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0442,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0443,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-IT-A0444,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0445,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0446,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0447,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0449,"Cfa Temperate, no dry season, hot summer",Lowlands
PDO-IT-A0450,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0451,"Cfa Temperate, no dry season, hot summer",Hills
PDO-IT-A0453,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0454,"Cfa Temperate, no dry season, hot summer",Plains
PDO-IT-A0455,"Cfa Temperate, no dry season, hot summer",Plains
